transaction_id;transaction_date;transaction_time;store_id;store_location;product_id;transaction_qty;unit_price;product_category;product_type;product_detail;Size;Total_bill;Month Name;Day Name;Hour;Day of Week;Month
80666;01/05/2023;11:33:29;3;Astoria;45;1;3;Tea;Brewed herbal tea;Peppermint;Large;3;May;Monday;11;1;5
81671;02/05/2023;11:18:24;3;Astoria;45;1;3;Tea;Brewed herbal tea;Peppermint;Large;3;May;Tuesday;11;2;5
82476;02/05/2023;19:39:47;3;Astoria;45;1;3;Tea;Brewed herbal tea;Peppermint;Large;3;May;Tuesday;19;2;5
82865;03/05/2023;12:24:57;3;Astoria;45;1;3;Tea;Brewed herbal tea;Peppermint;Large;3;May;Wednesday;12;3;5
82883;03/05/2023;12:42:55;3;Astoria;45;1;3;Tea;Brewed herbal tea;Peppermint;Large;3;May;Wednesday;12;3;5
82886;03/05/2023;12:44:17;3;Astoria;45;1;3;Tea;Brewed herbal tea;Peppermint;Large;3;May;Wednesday;12;3;5
83495;03/05/2023;18:57:29;3;Astoria;45;1;3;Tea;Brewed herbal tea;Peppermint;Large;3;May;Wednesday;18;3;5
83840;04/05/2023;11:59:23;3;Astoria;45;1;3;Tea;Brewed herbal tea;Peppermint;Large;3;May;Thursday;11;4;5
84042;04/05/2023;13:57:40;3;Astoria;45;1;3;Tea;Brewed herbal tea;Peppermint;Large;3;May;Thursday;13;4;5
84105;04/05/2023;14:31:43;3;Astoria;45;1;3;Tea;Brewed herbal tea;Peppermint;Large;3;May;Thursday;14;4;5
84443;04/05/2023;17:53:30;3;Astoria;45;1;3;Tea;Brewed herbal tea;Peppermint;Large;3;May;Thursday;17;4;5
84461;04/05/2023;18:05:27;3;Astoria;45;1;3;Tea;Brewed herbal tea;Peppermint;Large;3;May;Thursday;18;4;5
84864;05/05/2023;11:24:27;3;Astoria;45;1;3;Tea;Brewed herbal tea;Peppermint;Large;3;May;Friday;11;5;5
84926;05/05/2023;12:01:03;3;Astoria;45;1;3;Tea;Brewed herbal tea;Peppermint;Large;3;May;Friday;12;5;5
85147;05/05/2023;14:19:59;3;Astoria;45;1;3;Tea;Brewed herbal tea;Peppermint;Large;3;May;Friday;14;5;5
85189;05/05/2023;14:42:16;3;Astoria;45;1;3;Tea;Brewed herbal tea;Peppermint;Large;3;May;Friday;14;5;5
85396;05/05/2023;16:52:40;3;Astoria;45;1;3;Tea;Brewed herbal tea;Peppermint;Large;3;May;Friday;16;5;5
85657;05/05/2023;19:51:09;3;Astoria;45;1;3;Tea;Brewed herbal tea;Peppermint;Large;3;May;Friday;19;5;5
86066;06/05/2023;13:32:35;3;Astoria;45;1;3;Tea;Brewed herbal tea;Peppermint;Large;3;May;Saturday;13;6;5
87333;07/05/2023;12:01:18;3;Astoria;45;1;3;Tea;Brewed herbal tea;Peppermint;Large;3;May;Sunday;12;0;5
87517;07/05/2023;16:17:25;3;Astoria;45;1;3;Tea;Brewed herbal tea;Peppermint;Large;3;May;Sunday;16;0;5
87601;07/05/2023;18:07:09;3;Astoria;45;1;3;Tea;Brewed herbal tea;Peppermint;Large;3;May;Sunday;18;0;5
88248;08/05/2023;10:42:48;3;Astoria;45;1;3;Tea;Brewed herbal tea;Peppermint;Large;3;May;Monday;10;1;5
88313;08/05/2023;11:09:47;3;Astoria;45;1;3;Tea;Brewed herbal tea;Peppermint;Large;3;May;Monday;11;1;5
88392;08/05/2023;12:09:57;3;Astoria;45;1;3;Tea;Brewed herbal tea;Peppermint;Large;3;May;Monday;12;1;5
88459;08/05/2023;13:13:25;3;Astoria;45;1;3;Tea;Brewed herbal tea;Peppermint;Large;3;May;Monday;13;1;5
88592;08/05/2023;15:00:40;3;Astoria;45;1;3;Tea;Brewed herbal tea;Peppermint;Large;3;May;Monday;15;1;5
88721;08/05/2023;16:58:47;3;Astoria;45;1;3;Tea;Brewed herbal tea;Peppermint;Large;3;May;Monday;16;1;5
88884;08/05/2023;19:54:56;3;Astoria;45;1;3;Tea;Brewed herbal tea;Peppermint;Large;3;May;Monday;19;1;5
89168;09/05/2023;08:39:35;3;Astoria;45;1;3;Tea;Brewed herbal tea;Peppermint;Large;3;May;Tuesday;8;2;5
89201;09/05/2023;08:55:36;3;Astoria;45;1;3;Tea;Brewed herbal tea;Peppermint;Large;3;May;Tuesday;8;2;5
89296;09/05/2023;09:32:40;3;Astoria;45;1;3;Tea;Brewed herbal tea;Peppermint;Large;3;May;Tuesday;9;2;5
89621;09/05/2023;12:04:39;3;Astoria;45;1;3;Tea;Brewed herbal tea;Peppermint;Large;3;May;Tuesday;12;2;5
90139;10/05/2023;07:24:26;3;Astoria;45;1;3;Tea;Brewed herbal tea;Peppermint;Large;3;May;Wednesday;7;3;5
90480;10/05/2023;09:37:38;3;Astoria;45;1;3;Tea;Brewed herbal tea;Peppermint;Large;3;May;Wednesday;9;3;5
90883;10/05/2023;14:03:46;3;Astoria;45;1;3;Tea;Brewed herbal tea;Peppermint;Large;3;May;Wednesday;14;3;5
91547;11/05/2023;09:10:48;3;Astoria;45;1;3;Tea;Brewed herbal tea;Peppermint;Large;3;May;Thursday;9;4;5
91589;11/05/2023;09:32:07;3;Astoria;45;1;3;Tea;Brewed herbal tea;Peppermint;Large;3;May;Thursday;9;4;5
92137;11/05/2023;17:34:29;3;Astoria;45;1;3;Tea;Brewed herbal tea;Peppermint;Large;3;May;Thursday;17;4;5
92201;11/05/2023;19:17:53;3;Astoria;45;1;3;Tea;Brewed herbal tea;Peppermint;Large;3;May;Thursday;19;4;5
93940;13/05/2023;10:56:47;3;Astoria;45;1;3;Tea;Brewed herbal tea;Peppermint;Large;3;May;Saturday;10;6;5
94229;13/05/2023;16:14:54;3;Astoria;45;1;3;Tea;Brewed herbal tea;Peppermint;Large;3;May;Saturday;16;6;5
94304;13/05/2023;17:45:45;3;Astoria;45;1;3;Tea;Brewed herbal tea;Peppermint;Large;3;May;Saturday;17;6;5
94563;14/05/2023;08:30:02;3;Astoria;45;1;3;Tea;Brewed herbal tea;Peppermint;Large;3;May;Sunday;8;0;5
95249;14/05/2023;14:16:04;3;Astoria;45;1;3;Tea;Brewed herbal tea;Peppermint;Large;3;May;Sunday;14;0;5
95638;15/05/2023;07:39:31;3;Astoria;45;1;3;Tea;Brewed herbal tea;Peppermint;Large;3;May;Monday;7;1;5
95935;15/05/2023;09:32:07;3;Astoria;45;1;3;Tea;Brewed herbal tea;Peppermint;Large;3;May;Monday;9;1;5
